═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 384 x 749 dp
DPR: 2.81

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (2133 snapshots) ---

1760285116662 | 167% | scale:0.76 | painterZoom:1.67 | LVL1-Yearly→LVL1-Yearly | Single:9.1-22.9px | Cluster:7.9-19.8px | Years:2
1760285116662 | 167% | scale:0.76 | painterZoom:1.67 | LVL1-Yearly→LVL1-Yearly | Single:9.1-22.9px | Cluster:7.9-19.8px | Years:2
1760285116662 | 167% | scale:0.76 | painterZoom:1.67 | LVL1-Yearly→LVL1-Yearly | Single:9.1-22.9px | Cluster:7.9-19.8px | Years:2
1760285116662 | 167% | scale:0.76 | painterZoom:1.67 | LVL1-Yearly→LVL1-Yearly | Single:9.1-22.9px | Cluster:7.9-19.8px | Years:2
1760285116670 | 170% | scale:0.77 | painterZoom:1.70 | LVL1-Yearly→LVL2-Monthly | Single:9.3-23.2px | Cluster:8.0-20.1px | Years:2
1760285116670 | 170% | scale:0.77 | painterZoom:1.70 | LVL1-Yearly→LVL2-Monthly | Single:9.3-23.2px | Cluster:8.0-20.1px | Years:2
1760285116670 | 170% | scale:0.77 | painterZoom:1.70 | LVL1-Yearly→LVL2-Monthly | Single:9.3-23.2px | Cluster:8.1-20.1px | Years:2
1760285116670 | 170% | scale:0.77 | painterZoom:1.70 | LVL1-Yearly→LVL2-Monthly | Single:9.3-23.2px | Cluster:8.1-20.1px | Years:2
1760285116681 | 172% | scale:0.79 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:9.4-23.6px | Cluster:8.2-20.4px | Years:2
1760285116681 | 172% | scale:0.79 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:9.4-23.6px | Cluster:8.2-20.4px | Years:2
1760285116681 | 172% | scale:0.79 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:9.4-23.6px | Cluster:8.2-20.4px | Years:2
1760285116681 | 172% | scale:0.79 | painterZoom:1.72 | LVL1-Yearly→LVL2-Monthly | Single:9.4-23.6px | Cluster:8.2-20.4px | Years:2
